name	x	y	z	size
A1	-12.556510925293	-69.0057220458984	-10.0974674224854	0
A2	-6.15192890167236	-73.5227890014648	-3.62685585021973	0
A3	-2.42357850074768	-56.8891220092773	17.7486534118652	0
A4	-1.54119086265564	-51.315502166748	28.3877067565918	0
A5	-5.56775188446045	-54.8730049133301	36.8904991149902	0
A6	-4.20661306381226	-51.4896240234375	48.304328918457	0
A7	-8.7888126373291	-42.4810028076172	49.0861511230469	0
A8	-9.73452568054199	-47.4319381713867	60.5320434570313	0
A9	-3.1667857170105	-42.5357894897461	62.9962692260742	0
A10	-1.99675559997559	-40.9689407348633	69.4938735961914	0
A11	-11.7620992660522	39.025016784668	-24.8052558898926	0
A12	-20.8695373535156	42.9909858703613	-17.6065216064453	0
A13	-25.188549041748	42.9552383422852	-12.3805913925171	0
A14	-40.1076736450195	46.8392295837402	-14.3661479949951	0
A15	-46.3031387329102	45.4597244262695	-11.9673671722412	0
A16	-13.9019651412964	31.4152927398682	-25.8562202453613	0
A17	-15.5682191848755	32.5008926391602	-25.7885036468506	0
A18	-25.6296634674072	36.9439010620117	-12.8595504760742	0
A19	-38.6524848937988	39.4250869750977	-15.3209323883057	0
A20	-41.3151016235352	35.3888473510742	-17.1819610595703	0
A21	-26.0401420593262	-50.4464645385742	-19.1426582336426	0
A22	-26.0877685546875	-30.5269889831543	-25.4674949645996	0
A23	-23.5286064147949	-21.405179977417	-32.6646537780762	0
A24	-16.2544288635254	-14.9026184082031	-26.2261772155762	0
A25	-19.649019241333	-5.5802583694458	-36.2148056030273	0
A26	-24.5191135406494	5.02037811279297	-45.6316528320313	0
A27	-30.7148189544678	17.7808742523193	-40.0158615112305	0
A28	-36.0724906921387	16.2952995300293	-41.3074722290039	0
A29	-21.8432807922363	-25.0973968505859	-28.8089084625244	0
A30	-37.034423828125	-31.6078395843506	-28.362865447998	0
A31	-52.2715835571289	-26.1418399810791	-34.7695732116699	0
A32	-57.0270080566406	-35.2145004272461	-29.3871879577637	0
A33	-63.4804077148438	-27.0176658630371	-19.9210357666016	0
A34	-67.5814895629883	-19.7214088439941	-15.6563234329224	0
A35	-11.0807676315308	-88.9127426147461	-13.7014770507813	0
A36	-22.3597354888916	-80.806640625	-9.19216632843018	0
A37	-41.3681373596191	-72.8419647216797	-19.6698112487793	0
A38	-44.0530891418457	-68.3239212036133	-14.9172801971436	0
A39	-55.5788459777832	-60.8822021484375	-11.6443195343018	0
A40	-57.7419204711914	-59.0501403808594	-13.6419372558594	0
A41	-58.4228096008301	-55.6094169616699	-16.2597217559814	0
A42	-66.1724090576172	-47.3699264526367	-1.37883019447327	0
A43	-67.1748657226563	-41.31103515625	10.3517684936523	0
A44	-66.5760879516602	-35.9325332641602	12.9664402008057	0
A45	-10.9931316375732	-97.9355697631836	-12.9636535644531	0
A46	-28.62473487854	-97.2612152099609	-16.195463180542	0
A47	-28.6714687347412	-94.9209823608398	9.01445579528809	0
A48	-46.4040756225586	-79.6951141357422	-11.7692022323608	0
A49	-46.0436897277832	-78.3012008666992	1.86976718902588	0
A50	-49.8870315551758	-78.4636611938477	5.35938405990601	0
A51	-47.9146347045898	-73.5391387939453	15.1347885131836	0
A52	-44.7158012390137	-71.629280090332	15.6246166229248	0
A53	-56.6869506835938	-56.4324111938477	19.4421424865723	0
A54	-54.7036209106445	-55.6196517944336	22.6261291503906	0
A55	-37.3149909973145	56.4566650390625	3.25598835945129	0
