name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description	resection
A1	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
A2	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
A3	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
A4	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
A5	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
A6	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
A7	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
A8	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
A9	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	resected
A10	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A11	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A12	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A13	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A14	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A15	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A16	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A17	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A18	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A19	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A20	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A21	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	seizure onset zone	resected
A22	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	seizure onset zone	resected
A23	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	seizure onset zone	resected
A24	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A25	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A26	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A27	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A28	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A29	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A30	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A31	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
